order_id,date,channel,category,country,device,items,revenue,cogs,new_customer
ORD-000001,2026-03-23,Direct,Apparel,UK,Mobile,2,114.91,51.1,1
ORD-000002,2026-03-23,Email,Beauty,US,Desktop,1,38.62,14.41,0
ORD-000003,2026-03-23,Google Ads,Apparel,US,Mobile,3,231.31,110.01,0
ORD-000004,2026-03-23,Direct,Apparel,Germany,Mobile,2,84.53,39.54,1
ORD-000005,2026-03-23,Email,Apparel,US,Mobile,1,68.33,32.24,0
ORD-000006,2026-03-23,Email,Beauty,US,Tablet,1,25.82,9.94,0
ORD-000007,2026-03-23,Google Ads,Beauty,US,Mobile,3,103.64,42.11,0
ORD-000008,2026-03-23,Meta Ads,Beauty,Turkey,Mobile,1,27.69,11.74,1
ORD-000009,2026-03-23,Meta Ads,Beauty,Turkey,Mobile,4,120.56,49.78,0
ORD-000010,2026-03-23,Direct,Electronics,Canada,Mobile,1,404.86,297.63,0
ORD-000011,2026-03-23,Organic Search,Home & Living,US,Mobile,1,95.71,47.68,1
ORD-000012,2026-03-23,Direct,Apparel,Turkey,Mobile,3,157.87,67.36,1
ORD-000013,2026-03-23,Meta Ads,Apparel,Australia,Mobile,1,51.4,23.34,1
ORD-000014,2026-03-23,Google Ads,Beauty,Canada,Desktop,1,36.41,14.13,1
ORD-000015,2026-03-23,Organic Search,Home & Living,UK,Desktop,2,162.88,87.28,0
ORD-000016,2026-03-23,Google Ads,Home & Living,US,Mobile,3,277.66,149.78,0
ORD-000017,2026-03-23,Direct,Beauty,US,Mobile,1,38.0,15.26,1
ORD-000018,2026-03-23,Organic Search,Home & Living,Turkey,Mobile,1,88.44,43.09,0
ORD-000019,2026-03-23,Email,Home & Living,UK,Desktop,3,289.42,165.81,0
ORD-000020,2026-03-23,Meta Ads,Home & Living,US,Mobile,5,471.66,275.15,0
ORD-000021,2026-03-23,Direct,Electronics,US,Desktop,2,503.25,345.03,1
ORD-000022,2026-03-23,Direct,Apparel,Germany,Desktop,1,64.99,28.36,0
ORD-000023,2026-03-23,Email,Electronics,US,Desktop,1,220.47,152.58,0
ORD-000024,2026-03-23,Google Ads,Apparel,Turkey,Mobile,1,52.18,23.64,0
ORD-000025,2026-03-23,Meta Ads,Electronics,Canada,Desktop,1,246.68,161.79,0
ORD-000026,2026-03-23,Google Ads,Accessories,Canada,Mobile,2,61.33,25.43,1
ORD-000027,2026-03-23,Google Ads,Apparel,UK,Mobile,1,51.44,25.86,1
ORD-000028,2026-03-23,Email,Apparel,Germany,Mobile,2,150.12,74.46,0
ORD-000029,2026-03-23,Email,Apparel,Germany,Mobile,2,103.68,46.85,0
ORD-000030,2026-03-23,Direct,Apparel,Germany,Desktop,2,103.57,42.57,0
ORD-000031,2026-03-23,Meta Ads,Beauty,US,Desktop,1,51.9,17.89,0
ORD-000032,2026-03-23,Meta Ads,Home & Living,UK,Mobile,3,369.57,198.4,0
ORD-000033,2026-03-23,Meta Ads,Beauty,US,Tablet,2,72.05,27.24,1
ORD-000034,2026-03-23,Google Ads,Beauty,UK,Mobile,2,90.82,37.72,0
ORD-000035,2026-03-23,Google Ads,Electronics,US,Mobile,1,231.9,154.18,1
ORD-000036,2026-03-23,Meta Ads,Beauty,US,Mobile,1,52.74,18.88,0
ORD-000037,2026-03-23,Google Ads,Apparel,US,Tablet,4,217.36,105.45,0
ORD-000038,2026-03-23,Organic Search,Apparel,Germany,Mobile,1,72.19,31.1,0
ORD-000039,2026-03-23,Meta Ads,Apparel,US,Mobile,1,45.83,20.58,0
ORD-000040,2026-03-23,Direct,Beauty,Turkey,Mobile,2,67.35,24.96,0
ORD-000041,2026-03-23,Email,Home & Living,Germany,Tablet,2,200.85,124.27,0
ORD-000042,2026-03-23,Meta Ads,Apparel,US,Desktop,4,222.87,97.52,0
ORD-000043,2026-03-23,Direct,Home & Living,Germany,Desktop,1,62.08,35.24,1
ORD-000044,2026-03-23,Email,Apparel,US,Desktop,4,165.49,67.14,0
ORD-000045,2026-03-23,Meta Ads,Beauty,Turkey,Desktop,1,44.26,17.58,0
ORD-000046,2026-03-24,Email,Accessories,US,Mobile,4,122.29,51.95,1
ORD-000047,2026-03-24,Meta Ads,Beauty,Germany,Mobile,5,158.46,56.85,1
ORD-000048,2026-03-24,Meta Ads,Home & Living,US,Mobile,3,289.38,154.33,0
ORD-000049,2026-03-24,Meta Ads,Apparel,Turkey,Desktop,1,79.33,35.91,0
ORD-000050,2026-03-24,Google Ads,Accessories,Canada,Desktop,2,55.88,25.2,1
ORD-000051,2026-03-24,Google Ads,Apparel,US,Desktop,2,93.74,42.38,0
ORD-000052,2026-03-24,Direct,Apparel,US,Mobile,1,55.51,26.25,0
ORD-000053,2026-03-24,Meta Ads,Apparel,US,Desktop,2,125.66,57.15,0
ORD-000054,2026-03-24,Meta Ads,Beauty,Turkey,Mobile,1,41.94,15.7,0
ORD-000055,2026-03-24,Email,Apparel,UK,Mobile,1,54.33,24.02,0
ORD-000056,2026-03-24,Organic Search,Accessories,Australia,Desktop,2,66.22,30.7,0
ORD-000057,2026-03-24,Direct,Home & Living,Germany,Mobile,1,112.67,62.82,0
ORD-000058,2026-03-24,Email,Apparel,Germany,Mobile,1,35.64,17.27,0
ORD-000059,2026-03-24,Meta Ads,Apparel,US,Desktop,3,136.04,58.3,0
ORD-000060,2026-03-24,Meta Ads,Apparel,Turkey,Desktop,5,222.51,105.72,0
ORD-000061,2026-03-24,Direct,Home & Living,US,Tablet,2,240.56,141.13,0
ORD-000062,2026-03-24,Email,Beauty,Germany,Mobile,3,158.23,67.97,1
ORD-000063,2026-03-24,Direct,Apparel,Canada,Mobile,5,254.81,118.64,0
ORD-000064,2026-03-24,Google Ads,Accessories,Germany,Desktop,1,33.42,15.82,1
ORD-000065,2026-03-24,Direct,Apparel,Turkey,Mobile,1,49.57,20.41,0
ORD-000066,2026-03-24,Organic Search,Beauty,US,Desktop,1,33.89,12.33,0
ORD-000067,2026-03-24,Google Ads,Accessories,UK,Mobile,1,34.69,16.32,1
ORD-000068,2026-03-24,Organic Search,Beauty,UK,Mobile,3,94.63,35.29,0
ORD-000069,2026-03-24,Email,Beauty,UK,Mobile,1,41.18,16.64,0
ORD-000070,2026-03-24,Google Ads,Beauty,US,Desktop,2,86.42,32.21,1
ORD-000071,2026-03-24,Meta Ads,Apparel,US,Mobile,1,71.42,33.08,1
ORD-000072,2026-03-24,Direct,Apparel,US,Mobile,1,57.73,27.05,1
ORD-000073,2026-03-24,Meta Ads,Apparel,US,Mobile,4,199.86,92.41,0
ORD-000074,2026-03-24,Meta Ads,Home & Living,UK,Mobile,1,74.63,46.45,1
ORD-000075,2026-03-24,Meta Ads,Beauty,Germany,Mobile,1,60.13,23.58,0
ORD-000076,2026-03-24,Meta Ads,Home & Living,Germany,Desktop,1,85.11,47.54,0
ORD-000077,2026-03-24,Direct,Accessories,UK,Mobile,2,52.38,21.09,0
ORD-000078,2026-03-24,Email,Apparel,UK,Desktop,2,84.06,36.06,0
ORD-000079,2026-03-24,Google Ads,Beauty,US,Desktop,2,78.39,30.58,1
ORD-000080,2026-03-24,Direct,Apparel,Germany,Mobile,1,61.44,30.84,0
ORD-000081,2026-03-24,Direct,Apparel,US,Mobile,1,51.27,20.23,1
ORD-000082,2026-03-24,Meta Ads,Beauty,US,Desktop,3,153.92,63.59,1
ORD-000083,2026-03-24,Direct,Accessories,UK,Mobile,2,67.79,30.24,0
ORD-000084,2026-03-24,Google Ads,Home & Living,UK,Mobile,2,223.9,125.32,0
ORD-000085,2026-03-25,Meta Ads,Electronics,Turkey,Mobile,2,483.35,342.87,0
ORD-000086,2026-03-25,Direct,Electronics,US,Mobile,2,425.01,308.5,0
ORD-000087,2026-03-25,Google Ads,Electronics,Australia,Desktop,1,182.04,125.3,0
ORD-000088,2026-03-25,Meta Ads,Apparel,US,Desktop,2,107.12,43.1,0
ORD-000089,2026-03-25,Direct,Apparel,Australia,Mobile,4,318.77,145.6,1
ORD-000090,2026-03-25,Organic Search,Accessories,Germany,Desktop,2,64.81,29.31,1
ORD-000091,2026-03-25,Email,Apparel,US,Tablet,1,59.07,25.6,0
ORD-000092,2026-03-25,Organic Search,Home & Living,UK,Mobile,1,107.51,55.4,0
ORD-000093,2026-03-25,Organic Search,Home & Living,US,Mobile,1,75.68,40.42,1
ORD-000094,2026-03-25,Meta Ads,Electronics,US,Mobile,1,171.07,121.38,0
ORD-000095,2026-03-25,Google Ads,Electronics,US,Desktop,1,245.21,175.85,0
ORD-000096,2026-03-25,Meta Ads,Beauty,US,Mobile,2,106.65,41.07,0
ORD-000097,2026-03-25,Google Ads,Accessories,US,Mobile,1,30.69,12.82,1
ORD-000098,2026-03-25,Direct,Apparel,US,Mobile,4,238.49,98.98,0
ORD-000099,2026-03-25,Meta Ads,Electronics,Canada,Desktop,1,253.76,173.14,1
ORD-000100,2026-03-25,Organic Search,Apparel,Canada,Mobile,1,54.14,22.84,1
ORD-000101,2026-03-25,Email,Home & Living,Canada,Desktop,3,280.48,146.81,0
ORD-000102,2026-03-25,Email,Beauty,US,Mobile,4,188.66,70.05,0
ORD-000103,2026-03-25,Meta Ads,Apparel,Turkey,Tablet,1,58.43,31.43,0
ORD-000104,2026-03-25,Meta Ads,Electronics,Germany,Mobile,1,124.45,93.55,1
ORD-000105,2026-03-25,Direct,Accessories,US,Mobile,1,34.87,15.86,1
ORD-000106,2026-03-25,Organic Search,Apparel,US,Desktop,2,140.78,65.4,0
ORD-000107,2026-03-25,Email,Home & Living,Canada,Desktop,2,179.94,96.76,0
ORD-000108,2026-03-25,Direct,Beauty,US,Mobile,1,38.91,15.96,0
ORD-000109,2026-03-25,Email,Apparel,UK,Mobile,1,54.65,26.83,0
ORD-000110,2026-03-25,Google Ads,Apparel,Turkey,Desktop,2,96.24,40.64,1
ORD-000111,2026-03-25,Organic Search,Apparel,US,Desktop,4,209.08,94.75,1
ORD-000112,2026-03-25,Google Ads,Accessories,US,Mobile,2,71.52,32.18,0
ORD-000113,2026-03-25,Organic Search,Apparel,Turkey,Mobile,2,134.2,62.05,0
ORD-000114,2026-03-25,Direct,Apparel,Germany,Desktop,1,59.57,25.98,0
ORD-000115,2026-03-25,Organic Search,Apparel,US,Desktop,1,57.32,24.53,0
ORD-000116,2026-03-25,Meta Ads,Apparel,Turkey,Desktop,1,61.63,30.33,0
ORD-000117,2026-03-25,Google Ads,Home & Living,Turkey,Mobile,3,255.69,144.33,1
